Encontraremos as soluções para
x1 + x2 + x3 + x4 = c
Entre com um valor natural c: 0 + 0 + 0 + 4 = 4
0 + 0 + 1 + 3 = 4
0 + 0 + 2 + 2 = 4
0 + 0 + 3 + 1 = 4
0 + 0 + 4 + 0 = 4
0 + 1 + 0 + 3 = 4
0 + 1 + 1 + 2 = 4
0 + 1 + 2 + 1 = 4
0 + 1 + 3 + 0 = 4
0 + 2 + 0 + 2 = 4
0 + 2 + 1 + 1 = 4
0 + 2 + 2 + 0 = 4
0 + 3 + 0 + 1 = 4
0 + 3 + 1 + 0 = 4
0 + 4 + 0 + 0 = 4
1 + 0 + 0 + 3 = 4
1 + 0 + 1 + 2 = 4
1 + 0 + 2 + 1 = 4
1 + 0 + 3 + 0 = 4
1 + 1 + 0 + 2 = 4
1 + 1 + 1 + 1 = 4
1 + 1 + 2 + 0 = 4
1 + 2 + 0 + 1 = 4
1 + 2 + 1 + 0 = 4
1 + 3 + 0 + 0 = 4
2 + 0 + 0 + 2 = 4
2 + 0 + 1 + 1 = 4
2 + 0 + 2 + 0 = 4
2 + 1 + 0 + 1 = 4
2 + 1 + 1 + 0 = 4
2 + 2 + 0 + 0 = 4
3 + 0 + 0 + 1 = 4
3 + 0 + 1 + 0 = 4
3 + 1 + 0 + 0 = 4
4 + 0 + 0 + 0 = 4
